,Country name,year,stringency_index,facial_coverings,restriction_gatherings,cancel_public_events,Life Ladder,Log GDP per capita,Social support
164,Mexico,2022,25.62416667,2,0,1,7.038,9.876,0.858
165,Moldova,2020,66.15444444,2,4,2,5.812,9.409,0.874
166,Moldova,2021,55.7075,3,4,2,5.959,9.547,0.88
167,Moldova,2022,19.0375,1,0,0,5.687,9.54,0.817
168,Mongolia,2020,61.73,2,0,2,6.011,9.365,0.918
169,Mongolia,2021,61.035,4,4,2,5.721,9.365,0.927
170,Mongolia,2022,12.26833333,2,0,0,5.788,9.388,0.951
171,Morocco,2020,77.26444444,4,4,2,4.803,8.929,0.553
172,Morocco,2021,69.03333333,3,4,2,5.326,8.994,0.505
173,Morocco,2022,34.22666667,3,0,0,4.596,8.996,0.564
174,Namibia,2020,55.24666667,3,3,1,4.451,9.11,0.741
175,Namibia,2021,44.32833333,3,3,1,4.491,9.12,0.808
176,Namibia,2022,17.90166667,0,2,1,4.949,9.132,0.808
177,Nepal,2020,70.53909091,0,4,2,5.982,8.233,0.787
178,Nepal,2021,55.05416667,4,0,1,4.622,8.251,0.699
179,Nepal,2022,35.6125,4,2,1,5.474,8.285,0.753
180,Netherlands,2020,55.371,2,4,2,7.504,10.902,0.944
181,Netherlands,2021,57.75833333,2,4,2,7.314,10.944,0.919
182,Netherlands,2022,23.1175,0,0,0,7.39,10.981,0.929
183,New Zealand,2020,41.48,0,0,0,7.257,10.637,0.952
184,New Zealand,2021,45.91,2,0,0,7.137,10.667,0.95
185,New Zealand,2022,25.1425,2,0,0,6.975,10.682,0.956
186,Nicaragua,2020,15.43111111,0,0,0,6.287,8.553,0.856
187,Nicaragua,2021,9.256666667,1,0,0,6.095,8.637,0.848
188,Nicaragua,2022,12.03666667,0,0,0,6.392,8.664,0.844
189,Norway,2020,46.805,0,3,0,7.29,11.06,0.956
190,Norway,2021,49.26666667,2,4,1,7.362,11.092,0.948
191,Norway,2022,15.6625,1,0,0,7.295,11.111,0.927
192,Paraguay,2020,78.59888889,0,4,2,5.501,9.497,0.907
193,Paraguay,2021,49.15083333,3,3,1,5.576,9.524,0.908
194,Paraguay,2022,21.16166667,2,0,0,6.138,9.508,0.899
195,Peru,2020,83.95,3,4,2,4.994,9.322,0.749
196,Peru,2021,64.20916667,4,0,2,5.694,9.435,0.819
197,Peru,2022,30.72166667,3,0,1,5.892,9.449,0.823
198,Poland,2020,58.43555556,3,4,2,6.139,10.39,0.953
199,Poland,2021,54.85333333,2,2,1,5.978,10.461,0.936
200,Poland,2022,18.61916667,2,0,0,6.666,10.509,0.886
201,Portugal,2020,69.85666667,2,4,2,5.768,10.374,0.875
202,Portugal,2021,61.95666667,3,4,2,6.183,10.424,0.895
203,Portugal,2022,17.97833333,2,0,0,5.953,10.487,0.862
204,Romania,2020,55.001,0,4,2,6.785,10.277,0.869
205,Romania,2021,60.55583333,4,4,2,6.549,10.335,0.835
206,Romania,2022,20.60083333,1,0,0,6.437,10.404,0.83
207,Russia,2020,49.87545455,2,4,2,5.495,10.188,0.887
208,Russia,2021,46.68083333,2,3,2,5.448,10.239,0.862
209,Russia,2022,32.26916667,2,1,2,6.044,10.203,0.92
210,Saudi Arabia,2020,70.11333333,3,3,2,6.56,10.666,0.89
211,Saudi Arabia,2021,54.40083333,3,3,2,6.445,10.7,0.859
212,Saudi Arabia,2022,27.91,2,0,0,6.382,10.781,0.9
213,Senegal,2020,52.88111111,0,2,2,4.757,8.127,0.621
214,Senegal,2021,25.84666667,3,0,0,4.903,8.159,0.645
215,Senegal,2022,13.89,3,0,0,4.907,8.18,0.609
216,Slovenia,2020,62.08777778,2,4,2,6.462,10.521,0.953
217,Slovenia,2021,55.72833333,3,3,2,6.761,10.598,0.955
218,Slovenia,2022,18.53666667,2,0,0,6.723,10.644,0.942
219,South Korea,2020,52.35818182,2,4,2,5.793,10.655,0.808
220,South Korea,2021,51.21833333,3,4,2,6.113,10.697,0.811
221,South Korea,2022,22.84083333,3,0,0,5.95,10.726,0.81
222,Spain,2020,57.32454545,3,4,2,6.502,10.49,0.935
223,Spain,2021,57.77583333,4,4,2,6.47,10.543,0.926
224,Spain,2022,24.2225,2,3,1,6.337,10.587,0.934
225,Sweden,2020,50.50545455,0,3,2,7.314,10.846,0.936
226,Sweden,2021,46.63,0,4,2,7.439,10.89,0.932
227,Sweden,2022,16.19916667,0,0,0,7.431,10.913,0.949
228,Switzerland,2020,46.992,0,3,2,7.508,11.137,0.946
229,Switzerland,2021,49.03166667,2,3,1,7.328,11.171,0.934
230,Switzerland,2022,15.01,0,0,0,6.884,11.184,0.881
231,Tanzania,2020,29.83444444,2,3,0,3.786,7.844,0.74
232,Tanzania,2021,12.19083333,1,0,0,3.681,7.856,0.619
233,Tanzania,2022,9.720833333,0,0,0,3.616,7.872,0.6
234,Thailand,2020,47.26454545,3,2,1,5.885,9.732,0.867
235,Thailand,2021,54.86,4,4,2,5.638,9.745,0.883
236,Thailand,2022,27.16166667,1,2,1,6.007,9.777,0.867
237,Tunisia,2020,56.48111111,0,0,0,4.731,9.215,0.719
238,Tunisia,2021,63.30666667,3,4,2,4.499,9.249,0.711
239,Tunisia,2022,42.37833333,3,4,2,4.261,9.266,0.755
240,Ukraine,2020,65.33,3,0,1,5.27,9.426,0.885
241,Ukraine,2021,55.8225,3,3,2,5.311,9.468,0.879
242,Ukraine,2022,16.5225,0,0,0,4.637,9.049,0.863
243,United Arab Emirates,2020,53.87090909,3,4,2,6.458,11.122,0.827
244,United Arab Emirates,2021,50.59416667,3,4,2,6.733,11.152,0.826
245,United Arab Emirates,2022,31.59083333,2,0,1,6.738,11.202,0.798
246,United Kingdom,2020,60.18454545,3,4,2,6.798,10.645,0.929
247,United Kingdom,2021,59.51666667,3,4,1,6.867,10.714,0.854
248,United Kingdom,2022,15.75916667,1,0,0,6.722,10.754,0.863
249,United States,2020,58.54363636,4,4,2,7.028,11.005,0.937
250,United States,2021,57.3975,2,4,2,6.959,11.061,0.92
251,United States,2022,31.93666667,2,0,0,6.693,11.079,0.9
252,Uruguay,2020,49.89777778,2,0,2,6.31,9.991,0.921
253,Uruguay,2021,58.875,2,4,1,6.502,10.035,0.914
254,Uruguay,2022,16.25833333,1,0,0,6.671,10.084,0.905
255,Uzbekistan,2020,64.19555556,3,3,2,5.842,8.902,0.85
