,Country name,year,cancel_public_events
486,Tajikistan,2022,0
487,Tanzania,2020,0
488,Tanzania,2021,0
489,Tanzania,2022,0
490,Thailand,2020,1
491,Thailand,2021,2
492,Thailand,2022,1
493,Timor,2020,0
494,Timor,2021,2
495,Timor,2022,0
496,Togo,2020,2
497,Togo,2021,2
498,Togo,2022,1
499,Tonga,2020,1
500,Tonga,2021,1
501,Tonga,2022,1
502,Trinidad and Tobago,2020,2
503,Trinidad and Tobago,2021,2
504,Trinidad and Tobago,2022,0
505,Tunisia,2020,0
506,Tunisia,2021,2
507,Tunisia,2022,2
508,Turkey,2020,2
509,Turkey,2021,2
510,Turkey,2022,0
511,Turkmenistan,2020,0
512,Turkmenistan,2021,2
513,Turkmenistan,2022,0
514,Uganda,2020,2
515,Uganda,2021,2
516,Uganda,2022,0
517,Ukraine,2020,1
518,Ukraine,2021,2
519,Ukraine,2022,0
520,United Arab Emirates,2020,2
521,United Arab Emirates,2021,2
522,United Arab Emirates,2022,1
523,United Kingdom,2020,2
524,United Kingdom,2021,1
525,United Kingdom,2022,0
526,United States,2020,2
527,United States,2021,2
528,United States,2022,0
529,United States Virgin Islands,2020,1
530,United States Virgin Islands,2021,1
531,United States Virgin Islands,2022,1
532,Uruguay,2020,2
533,Uruguay,2021,1
534,Uruguay,2022,0
535,Uzbekistan,2020,2
536,Uzbekistan,2021,1
537,Uzbekistan,2022,0
538,Vanuatu,2020,0
539,Vanuatu,2021,0
540,Vanuatu,2022,0
541,Venezuela,2020,2
542,Venezuela,2021,2
543,Venezuela,2022,0
544,Vietnam,2020,2
545,Vietnam,2021,2
546,Vietnam,2022,1
547,Yemen,2020,0
548,Yemen,2021,1
549,Yemen,2022,1
550,Zambia,2020,0
551,Zambia,2021,2
552,Zambia,2022,0
553,Zimbabwe,2020,2
554,Zimbabwe,2021,2
555,Zimbabwe,2022,1
