,Country name,year,stringency_index
349,Nicaragua,2022,12.03666667
350,Niger,2020,30.76111111
351,Niger,2021,25.07583333
352,Niger,2022,13.1925
353,Nigeria,2020,64.352
354,Nigeria,2021,47.36916667
355,Nigeria,2022,23.01916667
356,Norway,2020,46.805
357,Norway,2021,49.26666667
358,Norway,2022,15.6625
359,Oman,2020,71.85
360,Oman,2021,57.61666667
361,Oman,2022,19.69833333
362,Pakistan,2020,65.649
363,Pakistan,2021,57.495
364,Pakistan,2022,44.79333333
365,Palestine,2020,79.68333333
366,Palestine,2021,72.6875
367,Palestine,2022,18.74916667
368,Panama,2020,79.73222222
369,Panama,2021,67.74666667
370,Panama,2022,21.2275
371,Papua New Guinea,2020,54.11333333
372,Papua New Guinea,2021,56.45416667
373,Papua New Guinea,2022,36.6575
374,Paraguay,2020,78.59888889
375,Paraguay,2021,49.15083333
376,Paraguay,2022,21.16166667
377,Peru,2020,83.95
378,Peru,2021,64.20916667
379,Peru,2022,30.72166667
380,Philippines,2020,67.92909091
381,Philippines,2021,72.49666667
382,Philippines,2022,36.86166667
383,Poland,2020,58.43555556
384,Poland,2021,54.85333333
385,Poland,2022,18.61916667
386,Portugal,2020,69.85666667
387,Portugal,2021,61.95666667
388,Portugal,2022,17.97833333
389,Qatar,2020,68.424
390,Qatar,2021,63.02166667
391,Qatar,2022,34.12666667
392,Romania,2020,55.001
393,Romania,2021,60.55583333
394,Romania,2022,20.60083333
395,Russia,2020,49.87545455
396,Russia,2021,46.68083333
397,Russia,2022,32.26916667
398,Rwanda,2020,76.74888889
399,Rwanda,2021,61.0725
400,Rwanda,2022,41.30083333
401,San Marino,2020,47.407
402,San Marino,2021,54.8725
403,San Marino,2022,19.1075
404,Saudi Arabia,2020,70.11333333
405,Saudi Arabia,2021,54.40083333
406,Saudi Arabia,2022,27.91
407,Senegal,2020,52.88111111
408,Senegal,2021,25.84666667
409,Senegal,2022,13.89
410,Serbia,2020,61.73
411,Serbia,2021,46.21916667
412,Serbia,2022,18.595
413,Seychelles,2020,36.72888889
414,Seychelles,2021,69.13583333
415,Seychelles,2022,37.5
416,Sierra Leone,2020,46.60555556
417,Sierra Leone,2021,49.74083333
418,Sierra Leone,2022,42.14916667
419,Singapore,2020,52.10454545
420,Singapore,2021,49.62833333
421,Singapore,2022,30.52083333
422,Slovakia,2020,57.51
423,Slovakia,2021,53.33833333
424,Slovakia,2022,20.95
425,Slovenia,2020,62.08777778
426,Slovenia,2021,55.72833333
427,Slovenia,2022,18.53666667
428,Solomon Islands,2020,39.815
429,Solomon Islands,2021,30.32333333
430,Solomon Islands,2022,47.54333333
431,Somalia,2020,44.03333333
432,Somalia,2021,36.96083333
433,Somalia,2022,21.60583333
434,South Africa,2020,69.13555556
435,South Africa,2021,53.08666667
436,South Africa,2022,25.20583333
437,South Korea,2020,52.35818182
438,South Korea,2021,51.21833333
439,South Korea,2022,22.84083333
440,South Sudan,2020,68.98375
441,South Sudan,2021,43.52
442,South Sudan,2022,22.46416667
443,Spain,2020,57.32454545
444,Spain,2021,57.77583333
445,Spain,2022,24.2225
446,Sri Lanka,2020,46.50636364
447,Sri Lanka,2021,70.34583333
448,Sri Lanka,2022,34.82166667
449,Sudan,2020,64.30111111
450,Sudan,2021,26.93
451,Sudan,2022,11.18916667
452,Suriname,2020,73.04777778
453,Suriname,2021,73.51333333
454,Suriname,2022,32.67416667
455,Sweden,2020,50.50545455
456,Sweden,2021,46.63
457,Sweden,2022,16.19916667
458,Switzerland,2020,46.992
459,Switzerland,2021,49.03166667
460,Switzerland,2022,15.01
461,Syria,2020,61.83
462,Syria,2021,38.65833333
463,Syria,2022,24.99833333
464,Tajikistan,2020,47.8
465,Tajikistan,2021,34.18416667
466,Tajikistan,2022,13.27
467,Tanzania,2020,29.83444444
468,Tanzania,2021,12.19083333
469,Tanzania,2022,9.720833333
470,Thailand,2020,47.26454545
471,Thailand,2021,54.86
472,Thailand,2022,27.16166667
473,Timor,2020,38.99222222
474,Timor,2021,57.85666667
475,Timor,2022,22.73333333
476,Togo,2020,60.39111111
477,Togo,2021,51.4275
478,Togo,2022,36.76583333
479,Tonga,2021,45.37
480,Tonga,2022,49.20833333
481,Trinidad and Tobago,2020,73.86888889
482,Trinidad and Tobago,2021,74.80583333
483,Trinidad and Tobago,2022,25.92833333
484,Tunisia,2020,56.48111111
485,Tunisia,2021,63.30666667
486,Tunisia,2022,42.37833333
487,Turkey,2020,64.04444444
488,Turkey,2021,55.14916667
489,Turkey,2022,17.8875
490,Uganda,2020,79.11666667
491,Uganda,2021,62.96416667
492,Uganda,2022,36.4425
493,Ukraine,2020,65.33
494,Ukraine,2021,55.8225
495,Ukraine,2022,16.5225
496,United Arab Emirates,2020,53.87090909
497,United Arab Emirates,2021,50.59416667
498,United Arab Emirates,2022,31.59083333
499,United Kingdom,2020,60.18454545
500,United Kingdom,2021,59.51666667
501,United Kingdom,2022,15.75916667
502,United States,2020,58.54363636
503,United States,2021,57.3975
504,United States,2022,31.93666667
505,Uruguay,2020,49.89777778
506,Uruguay,2021,58.875
507,Uruguay,2022,16.25833333
508,Uzbekistan,2020,64.19555556
509,Uzbekistan,2021,44.985
510,Uzbekistan,2022,21.53
511,Vanuatu,2020,30.56
512,Vanuatu,2021,21.29416667
513,Vanuatu,2022,30.6325
514,Venezuela,2020,85.08333333
515,Venezuela,2021,81.63583333
516,Venezuela,2022,20.06083333
517,Vietnam,2020,62.83545455
518,Vietnam,2021,69.09583333
519,Vietnam,2022,39.045
520,Yemen,2020,39.93
521,Yemen,2021,31.48166667
522,Yemen,2022,15.12333333
523,Zambia,2020,48.09666667
524,Zambia,2021,41.58833333
525,Zambia,2022,9.8775
526,Zimbabwe,2020,78.70444444
527,Zimbabwe,2021,63.57916667
528,Zimbabwe,2022,51.28333333
