Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Jamaica,2021,5.814,9.169,0.857,66.6,0.731,-0.082,0.883
Jamaica,2022,5.87,9.198,0.868,66.6,0.874,-0.088,0.91
Japan,2020,6.118,10.595,0.887,74.225,0.806,-0.264,0.609
Japan,2021,6.091,10.616,0.896,74.35,0.801,-0.211,0.67
Japan,2022,6.178,10.636,0.899,74.475,0.789,-0.235,0.643
Jordan,2020,4.094,9.127,0.709,67.6,0.779,-0.151,0.884
Jordan,2021,3.909,9.129,0.703,67.6,0.773,-0.146,0.656
Jordan,2022,4.356,9.134,0.774,67.6,0.759,-0.153,0.715
Kazakhstan,2020,6.168,10.141,0.966,65.4,0.872,-0.06,0.661
Kazakhstan,2021,6.26,10.17,0.906,65.8,0.807,0.036,0.782
Kazakhstan,2022,6.006,10.187,0.923,66.2,0.883,0.022,0.72
Kenya,2020,4.547,8.411,0.674,58.1,0.702,0.254,0.837
Kenya,2021,4.465,8.465,0.702,58.5,0.678,0.316,0.841
Kenya,2022,4.448,8.499,0.691,58.9,0.706,0.294,0.878
Kosovo,2020,6.294,9.279,0.792,66.6,0.88,0.304,0.91
Kosovo,2021,6.648,9.383,0.849,66.6,0.84,0.261,0.842
Kosovo,2022,6.16,9.416,0.888,66.6,0.865,0.211,0.846
Kyrgyzstan,2020,6.25,8.461,0.902,66.325,0.935,0.104,0.931
Kyrgyzstan,2021,5.564,8.479,0.904,66.85,0.918,0.203,0.903
Kyrgyzstan,2022,5.668,8.517,0.927,67.375,0.948,0.236,0.876
Latvia,2020,6.229,10.328,0.928,66.3,0.82,-0.084,0.809
Latvia,2021,6.353,10.376,0.954,66.4,0.815,-0.102,0.84
Latvia,2022,6.055,10.407,0.928,66.5,0.817,0.019,0.844
Lebanon,2020,2.634,9.531,0.547,66.075,0.552,-0.136,0.884
Lebanon,2021,2.179,9.471,0.507,66.15,0.423,-0.161,0.905
Lebanon,2022,2.352,9.428,0.535,66.225,0.45,-0.126,0.883
Lithuania,2020,6.391,10.523,0.953,67.05,0.824,-0.127,0.829
